,transformer_score,mlp_ae_score,pca_score,avg_corr,top_eig,cross_sectional_vol,financial_binder,transformer_resid,mlp_ae_resid,pca_resid,transformer_resid_plus_binder,mlp_ae_resid_plus_binder
2016-02-17,2.3242453783750534,1.9779117107391357,0.491595596075058,0.12037599831819534,4.8138580322265625,0.19061725609033825,0.25615351649219475,-0.3360410783597194,-0.5489192148445632,0.14501116585905,-0.3173803134038744,-0.5318269505049464
2016-02-18,2.5194993689656258,2.122344732284546,0.5221711993217468,0.12308091670274734,4.892704486846924,0.19253277150895262,0.2700657623292537,-0.3196461951025187,-0.5629994711425903,0.19593886452350728,-0.32919919215866367,-0.5718308701884145
2016-02-19,2.588473692536354,2.159212350845337,0.5180530548095703,0.12402525544166565,4.880098819732666,0.19318085264067558,0.2733100349792654,-0.17486973657465388,-0.43942620316669156,0.18029375668255532,-0.15693550403734857,-0.42252812853500954
2016-02-22,2.2522276863455772,2.1460611820220947,0.5182878375053406,0.12400559335947037,4.856597900390625,0.19282539423304684,0.26924701511771076,-0.43301362738584714,-0.3613240289961128,0.16481750513885363,-0.40473876361970706,-0.3343987055842912
2016-02-23,2.793978027999401,2.428192138671875,0.5948449373245239,0.12518909573554993,4.963276386260986,0.19500536498227,0.2871681764851505,-0.19333249450879286,-0.3671544865526313,0.2724650376163482,-0.2007112103467037,-0.37428327016541285
2016-02-24,2.4629394337534904,2.4649925231933594,0.6034441590309143,0.12440024316310883,4.984642505645752,0.19548068302022273,0.2933390744437335,-0.5906466525723246,-0.3781041811653072,0.2747567871720523,-0.5955698004117069,-0.38290988557269623
2016-02-25,2.779696762561798,2.474128007888794,0.6003925204277039,0.12503068149089813,4.993083953857422,0.19583064793590843,0.2926058077708301,-0.2541695059463098,-0.3660457317313526,0.2721900393126575,-0.26442110993211987,-0.3756408977372363
2016-02-26,2.915592297911644,2.6021997928619385,0.6230377554893494,0.1296578049659729,5.020483016967773,0.1964115095307891,0.2926583199676698,-0.1307345810004561,-0.27511169468740704,0.31873727660488416,-0.14632131992057396,-0.29053869053871484
2016-02-29,2.8043820783495903,2.518360137939453,0.5839820504188538,0.12933620810508728,5.019721031188965,0.19689039738142972,0.29052944437714834,-0.24368819870493752,-0.3496774355228398,0.2496938714114546,-0.27879422129220277,-0.38407194181289306
2016-03-01,2.2498175725340843,2.5060157775878906,0.5902631282806396,0.1221904456615448,5.012140274047852,0.19669156899238407,0.29211586047821014,-0.8420065725425996,-0.3609075285351171,0.18757775191688397,-0.9093824071683612,-0.42727089162090426
2016-03-02,2.99775792658329,2.817539691925049,0.7839716672897339,0.11436016857624054,5.133946895599365,0.1987324230662649,0.31461465450775283,-0.5381589194678984,-0.44778575121593445,0.3696441119573741,-0.7208017959433155,-0.6309076327708034
2016-03-03,2.98556949198246,2.5117459297180176,0.7050455808639526,0.11066840589046478,5.295547008514404,0.19356736248995707,0.3325876521409683,-1.2642983748403127,-1.4225267825156118,0.38356419769200234,-1.5528023187771351,-1.7229168839145794
2016-03-04,3.517772912979126,2.880728244781494,0.3570343554019928,0.10881399363279343,5.351245403289795,0.19228441762859377,0.34071846053486343,-0.9403369260916561,-1.235277316815659,0.05562399501247328,-1.1957529508937643,-1.5069542872832065
2016-03-07,3.223399579524994,2.983322858810425,0.3782172203063965,0.10720162838697433,5.375985145568848,0.19117367133011154,0.3454396973087491,-1.3271896986317175,-1.2043046693957997,0.09039120944936396,-1.5415165347860809,-1.4060243782164914
2016-03-08,3.73588964343071,3.0567684173583984,0.3996911346912384,0.10711744427680969,5.38258695602417,0.1920230815747285,0.34418443418046973,-0.7694041077686187,-1.0877567137991822,0.10559194267791439,-0.9127000813079125,-1.225139798255257
2016-03-09,4.412919744849205,3.2133188247680664,0.4389578700065613,0.10713467001914978,5.430077075958252,0.1928903929853262,0.3525111682852631,-0.2088301147936047,-1.0303299119457403,0.15290656554760473,-0.33078578209123766,-1.1162164229192646
2016-03-10,3.8789003491401672,3.3325698375701904,0.4524589776992798,0.10652612894773483,5.480532169342041,0.19387770654403413,0.3589321643907796,-0.8930562073347801,-1.0163125310138827,0.17242960032299948,-1.0181835852783312,-1.0449425511357466
2016-03-11,4.025934040546417,3.2209835052490234,0.47785428166389465,0.10753683745861053,5.398097038269043,0.1926892165049228,0.3474465048752353,-0.4331947880706615,-0.8373898335115149,0.1763257411237611,-0.4879778307785436,-0.8112074060489887
2016-03-14,3.6419782042503357,3.687296152114868,0.5508229732513428,0.10417815297842026,5.5012617111206055,0.19374403216715194,0.346828606297477,-1.1539544268838862,-0.6512153201223612,0.2677338763954691,-1.2259155431348292,-0.5723117465755863
2016-03-15,3.987594783306122,3.6429972648620605,0.529045820236206,0.10517726838588715,5.457180023193359,0.19328442854250305,0.33854756619823156,-0.6054698119713837,-0.5302055749887655,0.22848710927107008,-0.5857471868771809,-0.42260047337176143
2016-03-16,4.341168701648712,3.760800838470459,0.5252543091773987,0.10589859634637833,5.492503643035889,0.19232091347918112,0.35275628526811387,-0.36778865268103633,-0.5264231633419554,0.2374719686199096,-0.32478020132708707,-0.4178497261494858
2016-03-17,4.699800029397011,3.907623291015625,0.5832295417785645,0.10962175577878952,5.509444713592529,0.19250528507549663,0.36053855266766666,-0.03230173401238545,-0.4139754566020182,0.2947038067547765,0.008016516304214072,-0.3085496230414515
