,price,ret_asset,score,zscore,pos,lev,turnover,fees,ret_strategy,equity_strategy,ret_buyhold,equity_buyhold,ret_voltarget,equity_voltarget
2023-04-25,390.7731628417969,-0.01587400523756166,1.474572502215441,1.4711512660618666,0.0,1.173879716868794,0.0,0.0,-0.0,2.4247438332858637,-0.01587400523756166,3.7381521058324885,-0.018634172773842637,2.899352197887659
2023-04-26,389.11798095703125,-0.00423565905275769,1.0531938556087717,1.1459797396282194,0.0,0.9485955675169491,0.0,0.0,-0.0,2.4247438332858637,-0.00423565905275769,3.722318568024834,-0.004017927402958984,2.8877028112409366
2023-04-27,396.8645935058594,0.0199081330802946,1.0810812840049806,1.1578847655892384,0.0,0.9868055274917829,0.0,0.0,0.0,2.4247438332858637,0.0199081330802946,3.7964229814443238,0.019645455765676723,2.9444330490835906
2023-04-28,400.2518615722656,0.008535072470142735,1.1962310428176934,1.2334321456754,0.0,0.7863883633792541,0.0,0.0,0.0,2.4247438332858637,0.008535072470142735,3.8288257267182666,0.006711881671118873,2.9641957352975714
2023-05-01,399.8477783203125,-0.001009572448622209,1.4441372684512181,1.406016776233521,0.0,0.8028439343570875,0.0,0.0,-0.0,2.4247438332858637,-0.001009572448622209,3.824960249753996,-0.0008105291166703728,2.9617931683466026
2023-05-02,395.35382080078125,-0.011239170912514584,1.3998495235401371,1.3586361545097014,0.0,0.8403440638049381,0.0,0.0,-0.0,2.4247438332858637,-0.011239170912514584,3.7819708677734365,-0.009444770558420761,2.933819711430071
2023-05-03,392.64013671875,-0.006863937919038499,2.9708642641623264,2.4826115742861457,0.0,0.8059525439960508,0.0,0.0,-0.0,2.4247438332858637,-0.006863937919038499,3.7560116545254276,-0.005532008227680037,2.91758979664791
2023-05-04,389.8590393066406,-0.00708306958975391,2.8790651986659057,2.3452376959173495,0.0,0.8235538303650606,0.0,0.0,-0.0,2.4247438332858637,-0.00708306958975391,3.729407562596497,-0.0058332890913841105,2.90057065191399
2023-05-05,397.07635498046875,0.018512628786712337,2.597422722173043,2.087402580347703,0.0,0.8435592813608572,0.0,0.0,0.0,2.4247438332858637,0.018512628786712337,3.798448700397204,0.015616499835419377,2.945867413022227
2023-05-08,397.18212890625,0.000266381829223894,4.349005880237044,3.234472877190016,0.0,0.7299148307277707,0.0,0.0,0.0,2.4247438332858637,0.000266381829223894,3.7994605381102287,0.0001944360477869125,2.9464401958393194
2023-05-09,395.44036865234375,-0.004385293615054242,3.8177088756965034,2.740910026306219,0.0,0.7672517572011377,0.0,0.0,-0.0,2.4247438332858637,-0.004385293615054242,3.7827987880718035,-0.0033646242319932966,2.9365265317582794
2023-05-10,397.28802490234375,0.004672401698128992,3.0732344019215168,2.1652918436313104,0.0,0.7957066286427682,0.0,0.0,0.0,2.4247438332858637,0.004672401698128992,3.8004735435528705,0.003717861002882965,2.9474441292346345
2023-05-11,396.59515380859375,-0.0017440019590831968,2.7775791189546712,1.924142873775653,0.0,0.8277722101159708,0.0,0.0,-0.0,2.4247438332858637,-0.0017440019590831968,3.7938455102474706,-0.0014436363561168807,2.943189091732048
2023-05-12,396.0755310058594,-0.00131020966278661,2.226310882203954,1.535575099313136,0.0,0.8671132842246451,0.0,0.0,-0.0,2.4247438332858637,-0.00131020966278661,3.788874777200825,-0.001136100203721762,2.9398453340053394
2023-05-15,397.44195556640625,0.0034499090541562083,2.084250146305063,1.4188774152103982,0.0,0.9096939752532699,0.0,0.0,0.0,2.4247438332858637,0.0034499090541562083,3.801946050599754,0.0031383614817376095,2.9490716313638474
2023-05-16,394.7859802246094,-0.006682674802190314,1.4888545839489105,1.0247399561385653,0.0,0.9495906047698929,0.0,0.0,-0.0,2.4247438332858637,-0.006682674802190314,3.7765388815281242,-0.006345805206892425,2.93035739725004
2023-05-17,399.5782470703125,0.01213889825311587,1.6335456226803142,1.0995840613774392,0.5,0.9588358210686196,0.5,0.0001,0.005719605236697394,2.4386124108123752,0.01213889825311587,3.82238190275993,0.01163921047339479,2.9644644437589025
2023-05-18,403.4275817871094,0.009633494177973878,1.0167725372641563,0.697611951422804,0.5,0.9048374117155134,0.0,0.0,0.0043583729688871755,2.4492407932252527,0.009633494177973878,3.8592047965661607,0.008716745937774351,2.9903049271567146
2023-05-19,402.84051513671875,-0.0014551971082146231,0.8951334472300232,0.6091314812775255,0.5,0.904875653466914,0.0,0.0,-0.0006583862171094353,2.447628246844611,-0.0014551971082146231,3.8535888929061897,-0.0013167724342188706,2.9863673760587255
2023-05-22,403.0041198730469,0.00040612781033844136,0.5303611543454156,0.3689933580676958,0.5,0.9437470184048165,0.0,0.0,0.0001916409550490904,2.448097312659441,0.00040612781033844136,3.8551539425252104,0.0003832819100981808,2.987511996650876
2023-05-23,398.4813232421875,-0.011222705694135637,0.18369462251451907,0.14159723074373998,0.5,0.9911218246245423,0.0,0.0,-0.005561534272397977,2.43448213555292,-0.011222705694135637,3.811888684422663,-0.011123068544795955,2.9542816959337284
2023-05-24,395.5943908691406,-0.007244837347852973,0.019913141918054933,0.031205536511405826,0.5,0.9219690858128856,0.0,0.0,-0.003339758033231528,2.4263515542839484,-0.007244837347852973,3.7842721709158997,-0.006679516066463056,2.9345485238808813
2023-05-25,399.0201416015625,0.008659755576653438,0.10382628437432118,0.07871135851201855,0.5,0.931031296206299,0.0,0.0,0.004031251729680689,2.4361327881839694,0.008659755576653438,3.817043042951563,0.008062503459361377,2.9582083315063343
2023-05-26,404.187744140625,0.012950731054129472,0.9697426482594622,0.6218255363410569,0.5,0.9222170056950301,0.0,0.0,0.005971692207150461,2.450680623370751,0.012950731054129472,3.8664765408228647,0.011943384414300921,2.993539350787102
2023-05-30,404.3416748046875,0.0003808395140476595,1.249874736615924,0.7902505195632858,0.5,0.8725298424858138,0.0,0.0,0.0001661469206021891,2.4510877964097038,0.0003808395140476595,3.8679490478697485,0.0003322938412043782,2.994534085476772
2023-05-31,402.0995788574219,-0.005545052827781505,-0.8528922154882714,-0.5477802573396233,0.5,0.916390515299571,0.0,0.0,-0.0025407169091070186,2.44486027619966,-0.005545052827781505,3.8465010660641434,-0.005081433818214037,2.979317558705036
2023-06-01,405.919921875,0.009500987363462832,-1.2263795228240362,-0.7807717304330276,1.0,0.9301352165311467,0.5,0.0001,0.00873720293857419,2.466221516589275,0.009500987363462832,3.883046624086365,0.00883720293857419,3.0056463925897696
2023-06-02,411.78997802734375,0.014461118649287119,-1.56806817671308,-0.9893001205743086,1.0,0.9262854691077929,0.0,0.0,0.013395124071878371,2.4992568597927245,0.014461118649287119,3.939199822037992,0.013395124071878371,3.045907398934703
2023-06-05,411.0008544921875,-0.0019163252562300892,-1.4097173189314454,-0.8794192231918851,1.0,0.8719534691714572,0.0,0.0,-0.001670946455230708,2.495080735402143,-0.0019163252562300892,3.9316510339296835,-0.001670946455230708,3.040817850763492
2023-06-06,411.8958740234375,0.002177658565590601,0.05602570549868702,0.04659113625541566,1.0,0.9030358890266138,0.0,0.0,0.001966503838774529,2.4999873212463637,0.002177658565590601,3.9402128274806336,0.001966503838774529,3.046797630740033
2023-06-07,410.47161865234375,-0.003457804413483201,0.012642179064426884,0.018360796044117434,0.5,0.9493387600457803,0.5,0.0001,-0.0017413138771884844,2.495634058631082,-0.003457804413483201,3.926588342175708,-0.0032826277543769686,3.036796128275396
2023-06-08,412.9543762207031,0.006048548682880295,1.4087750702137214,0.8867604375968987,0.5,0.9721437992786945,0.0,0.0,0.0029400295483486966,2.5029712965053226,0.006048548682880295,3.950338502920988,0.005880059096697393,3.0546526689742772
2023-06-09,413.69537353515625,0.0017943805832367765,2.5993699288265866,1.61893022837816,0.5,1.0072798745643516,0.0,0.0,0.0009037217244017242,2.5052332860415283,0.0017943805832367765,3.9574269136278417,0.0018074434488034483,3.0601737809291842
2023-06-12,417.4482727050781,0.009071648874997562,3.3725033902438213,2.0682623092833237,0.0,1.058787826805979,0.5,0.0001,-0.0001,2.504982762712924,0.009071648874997562,3.993327301036739,0.009604951397905572,3.0895666013641536
